Pasta,Canais_Combinados,Dice_Segmentation,Dice_SegmentationInterior
Point1,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.10976133208392888,0.7177642949859322
Point2,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.08585668724155075,0.6716074340396803
Point3,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.16282546329468245,0.7467696116701676
Point4,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.145529624693664,0.8040721845979155
Point5,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.1239558992878629,0.7356917415776826
Point6,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.14148118994025535,0.7544300838619658
Point7,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.09653806523538454,0.6366401540579552
Point8,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.09851484069304418,0.702073317004828
Point9,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.15156894332335247,0.7344420323063684
Point10,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.12726016896072453,0.6903778718529139
Point11,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.15466596221991535,0.7545954088943229
Point12,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.14680388364234198,0.7806723789708676
Point13,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.17134496013917974,0.7817318963080504
Point14,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.1285860218786262,0.732753157167922
Point15,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.0963256101781136,0.6000459592006394
Point16,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.14959259881228754,0.770559322267189
Point17,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.15559861379281248,0.7979871141825237
Point18,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.13147001473170192,0.7580560546655899
Point19,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.1069977947732957,0.6224822619930107
Point20,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.12978604155865991,0.7204179066221089
Point21,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.13374646579651392,0.7377669360523444
Point22,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.05746006454289459,0.5609023975093262
Point23,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.1275685503720818,0.6866247742112154
Point24,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.13291319642963456,0.6773267930017843
Point25,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.11115850156353038,0.6405189430203414
Point26,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.12765128466769682,0.7303112402272023
Point27,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.12277499472722408,0.6930271367010126
Point28,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.1664909156978093,0.7887217773007364
Point29,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.14579852977021215,0.6939566275570502
Point30,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.18113974468479738,0.8168527774306223
Point31,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.1189347667411969,0.6441144570669424
Point32,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.154929631529988,0.7320177242040264
Point33,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.10024449522418037,0.5101228679660053
Point34,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.12784202161819672,0.6358769775084755
Point35,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.16686733988407684,0.7810978572072457
Point36,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.11207275139795478,0.4991209898447799
Point37,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.1299833805567139,0.7434473897430735
Point38,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.12228353351614203,0.7176024274213165
Point39,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.14363838068110868,0.6505558545778994
Point40,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.13787600062334648,0.7345060943893009
Point41,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif, P.tif, Na.tif",0.14531786949354056,0.6683451436092839
